sns,dates,opens,highs,lows,ltps,changes,qtys,turnovers
1,2024-12-12,423.30,423.30,402.80,403.00,-2.89,"84,801.00","34,642,192.00"
2,2024-12-11,404.00,415.00,397.00,415.00,2.47,"150,942.00","60,777,882.10"
3,2024-12-10,396.90,411.00,396.90,405.00,0.00,"58,539.00","23,694,809.20"
4,2024-12-09,396.90,411.40,396.90,405.00,0.00,"66,907.00","27,135,316.00"
5,2024-12-08,409.90,414.90,400.10,405.00,-1.20,"159,922.00","64,577,191.50"
6,2024-12-05,406.90,415.00,406.00,409.90,-1.28,"155,704.00","63,754,717.80"
7,2024-12-04,420.00,425.00,415.00,415.20,-1.10,"143,772.00","60,079,128.40"
8,2024-12-03,436.00,436.00,417.00,419.80,-1.89,"410,484.00","172,511,347.90"
9,2024-12-02,430.00,430.00,425.00,427.90,-0.21,"181,491.00","77,567,724.10"
10,2024-12-01,444.00,444.00,427.20,428.80,-1.49,"126,527.00","54,336,790.10"
11,2024-11-28,437.00,437.90,430.00,435.30,-0.37,"81,755.00","35,574,057.30"
12,2024-11-27,435.00,438.80,431.60,436.90,0.55,"77,997.00","33,877,361.50"
13,2024-11-26,431.00,435.70,425.10,434.50,2.24,"114,088.00","48,908,653.00"
14,2024-11-25,435.50,435.50,422.10,425.00,-0.47,"108,838.00","46,178,968.10"
15,2024-11-24,430.00,430.00,423.00,427.00,0.16,"112,104.00","47,548,945.20"
16,2024-11-21,431.00,433.00,426.00,426.30,-0.84,"111,250.00","47,655,052.80"
17,2024-11-20,439.80,439.80,428.00,429.90,-0.30,"116,555.00","50,011,496.10"
18,2024-11-19,442.00,442.00,429.10,431.20,-2.07,"230,820.00","99,858,868.40"
19,2024-11-17,445.50,447.00,440.00,440.30,-1.08,"164,538.00","72,738,307.20"
20,2024-11-14,450.10,453.00,443.30,445.10,-1.46,"124,178.00","55,402,034.90"
21,2024-11-13,464.10,464.10,448.00,451.70,-1.16,"70,413.00","31,867,704.80"
22,2024-11-12,463.00,463.00,450.00,457.00,0.66,"98,128.00","44,800,783.00"
23,2024-11-11,458.00,462.10,450.00,454.00,0.93,"159,935.00","72,757,931.20"
24,2024-11-10,448.00,449.80,442.10,449.80,2.23,"82,617.00","36,815,029.40"
25,2024-11-06,445.00,447.00,439.00,440.00,-0.90,"63,545.00","28,083,991.40"
26,2024-11-05,440.30,455.80,440.00,444.00,-0.40,"51,361.00","22,962,464.40"
27,2024-10-30,450.00,454.00,443.10,445.80,-1.13,"77,838.00","34,838,568.80"
28,2024-10-29,445.00,452.00,445.00,450.90,1.78,"65,634.00","29,500,622.40"
29,2024-10-28,452.00,452.00,441.00,443.00,-0.23,"59,809.00","26,572,257.40"
30,2024-10-27,443.00,446.00,437.00,444.00,0.23,"55,784.00","24,654,312.40"
31,2024-10-24,450.00,455.00,439.00,443.00,-1.99,"104,890.00","46,521,225.20"
32,2024-10-23,460.00,460.00,450.00,452.00,-2.80,"182,640.00","82,721,217.30"
33,2024-10-22,475.00,476.00,459.50,465.00,-0.90,"104,000.00","48,395,845.70"
